Universal Intention Arts, Silver Thunderous Starlight Style, Evil Authority Form: Butterfly
Lunar Ancient Ethereal Dragon Arts, Chaotic Manifestation Style, Many Palms Form: Yang of the Spiraling Frenzy
Formless Splitting Assimilation Arts, North Shaolin Style, Unrivaled Warrior Form: Six Drifting Lance
Unshakable Immortal Leaf Arts, Augmented Triadic Style, Pure Darkwind Form: Origin of the Barrage
Subduing Gust Arts, Felling Madness Style, Old Volcano Form: Paradise of Return
Formless Wicked Ascending Gate Arts, Hunyuan Style, Tearing Dragontail Form: Sky-Drifting Immortal Commander
White Graceful Claw Arts, Repentant North Parallel Style, Serene Penetrating Contemplate Form: Pattern Slicing Mental
Rolling Spiritage Arts, Arching Array Style, Southern Spin Form: Buddha of the Fading Ruin
Featherweight Killer Arts, Burning Ultimate Advanced Style, Vile Fist Form: Dual-Retribution Twisting Domain
Void Statue Arts, Magnanimous Cosmic Light Style, Dual Talon Form: Deflection Following Hellfire
Governing Apex Emergence Arts, Empty Self Style, Cut Form: Ultimate Mastery
Radiant Volcano Arts, Equal Bite Style, Luminous Reflection Form: Eruption-Counterattacking Onyx Emergence
Frosty Petal Trio Arts, Unrivaled Quanzhen Style, Tearing Tranquil Form: Warriors-Leaping Boxing Intention
Featherweight Momentum Arts, Universal Graceful Countless Style, Devouring Spiral Form: Lower Net
Obsidian Grip Arts, Empty Pounce Style, Wild Sound Form: Shroud of Radiance
Lunar Yin Arts, Smashing Blossom Style, Coated Many Unveiled Form: Giant Thousand-Soothing Snakeform
Sonic Windswept Arts, Bloody Saint Style, Forged Breaker Form: Dual-Sylvan Leaping Cry
Descending Stalwart Arts, Sonic Fate Style, Extended Trill Form: Five-Fold Legs Ending Army
Elemental Eastern Blooming Sand Arts, Quick Assault Style, Buddhist Total Form: Triple Descent Rises Massacre
Eastern Autumn Arts, Expansive Wall Style, Endless Crazy Sutra Form: Protector of the Venomous Halo
Skeletal Metal Arts, Gallant Mirror Style, Killing Skills Form: Ink of the Strike
Righteous Royal Arts, Spring Style, Ravenous Absorption Form: Lord of the Living Mind
Striking Song Arts, Crows Style, Elemental Breeze Form: Beak of the Sage
Shattering Mountain Arts, Ascending Forged Light Style, Toxic Specter Form: Hands of the Yellow Tempo
Skeletal Shroud Arts, Saving Lunar Sylvan Style, 95th Cultivation Form: Five-Fold Leaves Biting Disruption
Devouring Toxic Ripping Earth Arts, Few Palm Style, Finishing Gust Form: Giant Rapid-Airsplitting Tong
Sacred Sutra Arts, Corvid Killing Treading Style, North Embracing Flash Form: Five-Fold Bone Binding Death
Infernal Unparalleled Wing Arts, Gallant Absorption Style, Ultimate Statue Form: Triple Raptor Gathering Radiance
Feral Mastery Arts, Limitless Scripture Style, Otherness Form: Triple Hand Falling Surface
Imperial Undivinable Shaolin Arts, Priest Style, Equine Toss Form: Truth of the Pines
Apex Scholar Arts, Winter Style, Violent Execution Form: Dual-Warfield Dispersing Snowlocked
Spanning Martial Equine Fairy Arts, Wild Taibai Style, Divine Forest Form: Triple Sweep Crushing Mastery
Consuming True Lunar Illuminated Arts, Devouring Shockwave Style, Snow Resonance Form: Five-Fold Taihua Resting Trigrams
Bloodthristy Bite Arts, Living North Style, Dividing Formation Form: Magnanimous Exchange
Ghostly Cutting Wheel Arts, Empty Inferno Style, Profound Devil Form: Five-Fold Sage Aiming Storm
Earthen Scriptures Arts, Devouring Intoxicated Kick Style, Roving Elbow Form: Ancient Nature Going Arm
Aureate Angel Arts, Red Soar Style, Charging Chaotic Wanderer Form: Sonic Rectitude
Celestial Pack Arts, Formless Red Pearl Style, Stellar Countless Pillar Form: Five-Fold Transparency Confronting Toss
Wounding Adamantine Treading Asterism Arts, Traceless Waning Fading Style, Enemy Form: Few Enigma
Poisonous Cloud Arts, Waning Nefarious Cry Style, Dancing Bird Form: Deflection of Fortress
Absolute Cosmic Fall Arts, Radiant Mystic Infusion Style, Hidden Taiji Form: Stream of Darkwind
Emerald Augmented Shard Arts, Limitless Lunar Sage Style, Sharpened Form: Trinity of Warrior
Governing Emergence Arts, Treading Emerald Rightful Style, Rising Vairocana Form: Dual-Shout Walking Divinities
Exploding Long Arts, Flash Style, Elegant Erupting Thunder Form: Serpent
Righteous Command Arts, Golden Sanctity Style, Vibrant Form: Balance-Swirling Immortal Vajrapani
Tearing Master Arts, Elemental Hail Style, Ancient Raptor Form: Dual-Maiden Rising Thoughtless
Cutting Posture Arts, Pounce Style, Water Form: Dual-Opposition Confronting Leap
Illuminating Ash Arts, Liberated Crusher Style, Brilliant Skills Form: Eternal
Devouring Gallant Vermillion Thousand Arts, Wounding Unbounded Style, Many Stomp Form: Triple Nullification Paralizing Spear
Iron Vine Arts, Elemental Crimson Fleeting Style, Venomous Dawn Form: Triple Darkwind Bowing Delights
Extra Lofty Arts, Merciful Vile Ravenous Style, Cut Form: Prism
Spiraling Hit Arts, Fiendish Long Style, Fiery Frosty Kings Form: Bone of the Discipline
Augmented Riding Guardian Arts, Transformation Style, Enlightenment Form: Cyclone of Protector
Tidal Old Encompassing Neck Arts, Gem Ancient Crimson Style, Imperial Skull Form: View of the Legged Beak
Wild Commander Arts, Gallant Gentle Breakout Style, Moonlit Grounded Sight Form: Malevolent Siege
Waxing Mighty Needles Arts, Great Limitless Felling Style, Striking Crush Form: Corvid Might
Unrivaled Shift Arts, Eastern Dive Style, Profound Tree Form: Six Swaying Sky
Fiery Foxform Augmented Pattern Arts, Unified Cave Style, Legged Fleeting Spearplay Form: Turtle-Drifting Dividing Beam
Birthless Sun Arts, Finishing Battalion Style, Summit Form: Tongue of the Circle
Boundless Monastery Arts, Sky Style, Current Smashing Vajrayana Form: Swing
Expansive Dividing Charging Trill Arts, Encompassing Empty Unbounded Style, Earthly Soft Form: Governing Cage
Unified Wisdom Arts, Earthen Few Form Style, Ultimate Chill Form: Facing Decree Blowing Stone
Adaptive Shadow Grounded Moon Arts, Riding Halo Style, Demonic Infinite Daoist Form: Giant Wisdom-Airsplitting Sylvan
Holy Millennium Arts, Finishing Ancient Chill Style, Spark Form: Six Chopping Shura
Heartless Treading Drop Arts, Divine Tranquil Style, Asterism Form: Blood Blowing Sect
Few Leaves Arts, Formless Wood Style, Righteous Quick Form: Method of the Intoxicated Hawkstrider
Bronze Empty Divine Flesh Arts, Giant Palms Style, Penetrating Deep Destruction Form: Undivinable Eternal Flowing Plume
Profound Featherweight Flight Arts, Fleeting Motion Style, Consciousness Form: Five-Fold Buddha Flaming Principles
Gentle Void Arts, Waters Style, Dark Taiji Form: Cultivation-Shifting Bloodthristy Needles
Golden Fate Arts, Treading Elemental Polar Style, Illuminating Beak Form: Cage of Road
Dirty Grand Iron Shockwave Arts, Throwing Defensive Abyssal Style, Giant Extended Enigma Form: Dance Tangled Might
Facing Patriarch Arts, Repelling Warmaster Style, Spectral Enemy Form: Consuming Mothers
Brilliant Glacial Star Arts, Onyx Sonic Prestissimo Style, Basilisk Form: Authority of the Bright Acala
Northern Diving Final Self Arts, Demonic Majestic Style, Repelling Crazy Martyr Form: Sky of Waves
Frozen Life Arts, Ultimate Energy Style, Aura Form: Total Cleaving Ruin
Holy Aura Arts, Formless Coral Method Style, Augmented Drop Form: Marquis of the Many Hexablaze
Treading Wisdom Arts, Traditional Silent Style, South Form: Five-Fold Starlight Stealing Fog
Jade Step Arts, Thunderous Emperor Style, Flying Things Form: Cloak of the Obsidian Variation
Center Elder Arts, Gallant Astral Stone Style, Holy Burst Form: Manifestations of the Legged Battalion
Coastal Icy Leech Arts, Quick Subduing Burst Style, Outward Unity Form: Giant Kaleidoscope-Grounding Sweep
Forged Buddhist Roars Arts, Imperial Bodhidharma Style, Spiraling Gem Lost Form: Triple Mirror Ending Order
Defensive Demonic Sacred Formation Arts, Height Style, Feral Silent Form: Dominating Nothingness
Luminous Comb Arts, Wounding Balanced Defiers Style, Fading Martial Hell Form: Torment-Severing Empty Needle
Downward Tong Arts, Ascending Punch Style, Daybreak Form: Five-Fold Proud Flaming Mirrored
Healing Nails Arts, Fiendish Cry Style, Twin Transparency Form: Whip
Obscure Graceful Unmatched Opposition Arts, Bronze Coral Rebounding Style, Court Form: Meditation of the Pearlflower
Brilliant Trigrams Arts, Full Malevolent Spiritage Style, Cawing Saving Taiji Form: Six Dispersing Book
Unforgiving Saber Arts, Luminous Sui Style, Bat Form: Five-Fold Tang Tearing Swan
Astral Nefarious Earthen Reflection Arts, Repentant Beam Style, Embracing Toss Form: Six Stealing Needles
Foxform Fog Arts, Killing Vitality Style, Traversing Devastating Battle Form: Yang Commanding Swords
Snow Toxin Arts, Grappling Cold Secret Style, Stunning Martyr Form: Range of the Great Asterism
True Twin Mind Arts, Advanced Petal Stealth Style, Riding Manifestation Form: Pine-Draining Extinguishing Strikes
Full Sea Arts, Northern Boundless Heritage Style, Ascension Form: Triple Destroyer Paralizing Bone
Void Obsidian Limitless Cutter Arts, Drunken Graceful Few Style, Many Subduing Drain Form: Sonic Circulation Shaking Spring
Chaotic Roars Arts, Whirlwind Style, Dividing Karma Form: Adaptive Drain Severing Dipper
Frozen Bamboo Arts, Mighty Ink Style, Profound Mysterious Bound Form: Lower Pierces
Traversing Graceful Swan Arts, Apex Blister Style, Waning Raven Form: Arrows of Wheel
Balanced Aegis Arts, Whirling Wolf Style, Dual Triple Form: Dual-Tipsy Paralizing Flow
Repentant Thousands Arts, Intoxicated Lost Style, Elemental Daoist Form: Rising Scale
Ancient Perfect Gorge Arts, Embracing Thrust Style, Subduing Pierces Form: Six Tearing Manifestation
Rightful Vibrant Arts, Ravenous Pure Hail Style, Astral Void Form: Intent of the Refraction
Quick Cascade Arts, Forged Light Style, Chill Form: Shockwave of the Stream
Icy Encompassing Talon Arts, Double Mountainous Style, Infinite Protective Nomad Form: Triple Night Vispering Nether
Absolute Skeletal Road Arts, Spiritual Foxform Madness Style, Trill Form: Intention Walking Phantom
Smashing Infinite Soaring Prayer Arts, Boundless Hit Style, Slicing Rage Form: Wanderer Dispersing Talon
Moonlit Mysterious Absorption Arts, Skeletal Skull Style, Gentle Rotation Form: Strength of the Encompassing Lake
Encompassing Shadowless Arts, Hunyuan Style, Killing Full Eclipse Form: Traditional Move
Drunken Seeds Arts, Heavenly Thousands Style, Hellish Waltz Form: Commander
Blooming Devastating Righteous Technique Arts, Coastal Precept Style, Traditional Spiraling Heart Form: Wing Going Circulation
Spiraling Treading Asterism Arts, Waning Shura Style, Many Crystalline Ape Form: Rivers
Chaotic Beak Arts, Riding Gust Style, Bright Orthodox Form: Corvid March Freezing Force
Adaptive Crossing Pure Reaction Arts, Rightful Righteous Immortal Style, Icy Hawkstrider Form: Five-Fold Earth Concealing Qintfade
Rightful Throw Arts, Illusory Duck Style, Grand Discipline Form: Five-Fold Manifestation Airsplitting Pierces
Midsummer Enigma Arts, Sacred Traversing Protective Style, Spear Form: Trail Stabbing Tempo
Burning Sugar Arts, Crazy Foxform Parallel Style, Fleche Form: Dual-Flames Following Opening
Consuming Depth Arts, Living Tipsy Style, Void Realm Form: Dual-Opening Flying Court
Indestructible Energy Arts, Silver Ripple Style, Traversing Fortress Form: Venomous Balance
Fiendish Vitality Arts, Hellish Dive Style, Gallant Sonic Leaf Form: Dual-South Paralizing Height
Consuming Tablet Arts, Dirty Fist Style, Tearing Blaze Form: Fortress of the Destroyer
Serene Fish Arts, Dominating Nullification Style, Granite Form: Six Walking Weaver
Blooming Change Arts, Fading Wicked Grove Style, Nefarious Beak Form: Five-Fold Bird Swirling Fate
Bloody Spinning Form Arts, Transparency Style, Destructive Night Form: Dual-Elder Emerging Forest
Poisonous Principles Arts, Facing Change Style, Mighty Hit Form: Formation of the Myriads
Few Scriptures Arts, Thread Style, Basic Stellar Mindless Form: Dual-Punch Sharpening Mountian
Elemental Wind Arts, Soaring Nebula Style, Featherweight Walk Form: Universal Breakout
Azure Vile Mysterious Cry Arts, Mind Style, Manifestation Form: Six Breaking Crushes
Bloodstained Awakening Arts, Erupting Elegant True Style, Venomous Coated Radiance Form: Giant Assault-Observing Waltz
Rising Lunar Manipulation Arts, Metallic Earthly Mobility Style, Trail Form: Infernal Nomad
Holy Qintfade Arts, Roving Gentle Azure Style, Ghostly Nothingness Form: Moonlight of Light
Legged Malevolent Graceful Resolve Arts, Rocky Style, Fertile Kick Form: Spear of Latch
Black Magnanimous Fire Arts, Holy Space Style, Rolling Domination Form: Deep Bite Feinting Spiral
Cutting Goldenring Arts, Mirage Butterfly Style, Boundless Triple Form: Six Bowing Height
Waxing Legs Arts, Lower Extreme Stellar Style, Tang Form: Giant Sheet-Rises Whip
Mirage Coral Dark Tempest Arts, Protector Style, Leniency Form: Encompassing Jeweled
Repelling Things Arts, Felling Frontier Style, Blazing Bone Form: Unveiled of Hell
Ultimate Beasts Arts, Elusive Stone Style, Lunar Deity Form: Sheet
Iron Thousands Arts, Countless Triadic Style, Cutting Movement Form: Five-Fold Vitality Linking Deity
Aureate Butterfly Arts, Devouring Daoist Style, Pyrocascade Form: Ruin of Coil
Bloodstained Rising Gentle Grove Arts, Traditional Scale Style, Augmented Trigrams Form: Proud of the Phenomena
Invisible Disruption Arts, Technique Style, Petal Aspects Form: Five-Fold Woodland Paralizing Script
Solar March Arts, Birthless Aureate Frozen Style, Unforgiving Warmaster Form: Order Concealing Mistveil
Coral Soaring Hidden Comb Arts, Tidal Cloak Style, Traceless Assault Form: Giant Spread-Fighting Destiny
Fading Boxing March Arts, Sacred Team Style, Diving Method Form: Five-Fold Daoist Weakening Mental
Gem Outward Obscure Thoughtless Arts, Gentle Needles Style, Countless Twelves Consciousness Form: Six Shifting Millennium
Foxform Woods Arts, Coastal Hunyuan Style, Petal Enlightened Shift Form: Dual-Claw Lunging Chariot
Rebounding Principles Arts, Wounding Endless Flash Style, Hellish Net Form: Illusory Starvation
Coastal Dividing Single Wood Arts, Cloak Style, Unrivaled Featherweight Rhythm Form: Emerald Reaction
Exploding Wheel Arts, Sudden Cut Style, Double Tablet Form: Apex Realm Attacking Venom
Spiraling Heavenly Spike Arts, Coastal Equine Obscure Style, Block Form: Unmatched Royal Ending Warfield
Cardinal Plate Arts, Basic Slip Style, Obscure Fiendish Long Form: Protective Polearm
Spiritual Silver Extended Descent Arts, Liberated Limitless Fairy Style, Radiant Lotus Form: Featherweight God
Vile White Rhythm Arts, Unforgiving Cawing Substitution Style, Many Parallel Form: Body
Repelling Leech Arts, Mad Tidal Waning Style, Motion Form: Skill-Biting Boxing Ascension
Dirty Enlightened Aspects Arts, Embracing Tang Style, Solar Echo Form: Five-Fold Binder Summoning Intention
Downward Cutting Abyssal Scripture Arts, Divine Destroyer Style, Sufferings Form: Things
Grounded Repelling Earthly Soar Arts, Unforgiving Nothingness Style, Full Breakthrough Form: Giant Battlefield-Deflecting Heart
Silver Domain Arts, Exploding Raptor Style, Lunar Calamity Form: Five-Fold Asura Vispering Reflect
Subduing Extinguishing Wall Arts, Mirage Wood Style, Rebounding Traditional Drop Form: Dual-Scriptures Emerging Tundra
Healing Vine Arts, Brilliant Cosmic Manipulation Style, Obscure Stride Form: Precept
Feral Fairy Arts, Absolute Warfield Style, Coated Fist Form: Quake of Archery
Primordial Tearing Circle Arts, Splitting Sealing Arrow Style, Omnidirectional Form: Paradise of Shadowy
Shooting Ice Arts, Death Style, North Form: Six Soaring Authority
Throwing Autumn Arts, Onyx Fish Style, Rolling Harmonies Form: Thrust of the Boundless Shard
Felling Righteous Spirit Emergence Arts, Graceful Buddhist Grafting Style, Exorcism Form: Five-Fold Ash Leaping Thunderclap
Foundational Vigor Arts, Many Midsummer Northern Style, Crimson Aureate Halo Form: Posture of Depth
Earthen Seaspan Arts, Stellar Parallel Style, Nefarious Waltz Form: Six Chopping Lotus
Liberated Slash Arts, Extended Violent Erupting Style, Infinite Divinities Form: Triple Fiend Invigorating Fate
Erupting Beak Arts, Abyssal Phenomena Style, Immortal Slayer Form: Triple Taebaek Grounding Hell
Destructive Drunken Traceless Arts, Vermillion Forest Style, Vile Coral Self Form: Six Rising Space
Adaptive Center Frosty Trigrams Arts, Traceless Hydra Style, Swift Form: Legacy of the Scale
Consecutive Ink Arts, Roving Interference Style, Malignant Form: Six Blowing Command
Immortal Forms Arts, Copper Golden Southern Style, Skeletal Phaseless Form: Six Following Interference
Adamantine Skull Arts, Riding Point Style, Foxform Pyrocascade Form: Toil of the Unified Thoughtless
Endless Raven Arts, Chaotic Fertile God Style, Boundless Governing Shura Form: Five-Fold Move Dispersing Soul
